CAD_E|CAPSM10011186//12/24/2010 12:03:28 AM
CAD_U|CAPSM|E63|AIQ|20101224000328|A-32L|||//12/24/2010 12:03:28 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/24/2010 12:10:25 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/24/2010 12:10:26 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/24/2010 12:10:26 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/24/2010 12:10:26 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/24/2010 12:10:28 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/24/2010 12:10:28 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/24/2010 12:10:28 AM
CAD_U|CABEU|E4664|AIQ|20101106122820|BEU-31|||//12/24/2010 12:10:29 AM
CAD_U|CABEU|E4664|AIQ|20101106122820|BEU-31|||//12/24/2010 12:10:29 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/24/2010 12:10:30 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/24/2010 12:10:30 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/24/2010 12:10:30 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/24/2010 12:10:31 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/24/2010 12:10:31 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/24/2010 12:10:31 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/24/2010 12:10:32 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/24/2010 12:10:32 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/24/2010 12:10:32 AM
CAD_U|CABEU|E4674|AIQ|20100804182838|BEU-30|||//12/24/2010 12:10:33 AM
CAD_U|CABEU|E4674|AIQ|20100804182838|BEU-30|||//12/24/2010 12:10:33 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/24/2010 12:10:34 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/24/2010 12:10:34 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/24/2010 12:10:34 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/24/2010 12:10:35 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/24/2010 12:10:35 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/24/2010 12:10:35 AM
CAD_U|CABEU|E4679|AIQ|20100723133641|BEU-30|||//12/24/2010 12:10:36 AM
CAD_U|CABEU|E4679|AIQ|20100723133641|BEU-30|||//12/24/2010 12:10:36 AM
CAD_U|CABEU|E4679|AIQ|20100723133641|BEU-30|||//12/24/2010 12:10:36 AM
CAD_U|CABEU|E4681|AIQ|20100619070355|BEU-30|||//12/24/2010 12:10:37 AM
CAD_U|CABEU|E4681|AIQ|20100619070355|BEU-30|||//12/24/2010 12:10:38 AM
CAD_U|CABEU|E4681|AIQ|20100619070355|BEU-30|||//12/24/2010 12:10:38 AM
CAD_U|CABEU|E4684|AIQ|20101106122827|BEU-35|||//12/24/2010 12:10:39 AM
CAD_U|CABEU|E4684|AIQ|20101106122827|BEU-35|||//12/24/2010 12:10:39 AM
CAD_U|CABEU|E4685|AIQ|20100802090450|BEU-30|||//12/24/2010 12:10:40 AM
CAD_U|CABEU|E4685|AIQ|20100802090450|BEU-30|||//12/24/2010 12:10:40 AM
CAD_U|CABEU|E4685|AIQ|20100802090450|BEU-30|||//12/24/2010 12:10:40 AM
CAD_U|CABEU|E4691|AIQ|20100711114712|BEU-30|||//12/24/2010 12:10:41 AM
CAD_U|CABEU|E4691|AIQ|20100711114712|BEU-30|||//12/24/2010 12:10:41 AM
CAD_U|CABEU|E4691|AIQ|20100711114712|BEU-30|||//12/24/2010 12:10:41 AM
CAD_U|CABEU|E4693|AIQ|20100717203928|BEU-30|||//12/24/2010 12:10:42 AM
CAD_U|CABEU|E4693|AIQ|20100717203928|BEU-30|||//12/24/2010 12:10:42 AM
CAD_U|CABEU|E4693|AIQ|20100717203928|BEU-30|||//12/24/2010 12:10:42 AM
CAD_U|CABEU|E4694|AIQ|20101106122832|BEU-30|||//12/24/2010 12:10:43 AM
CAD_U|CABEU|E4694|AIQ|20101106122832|BEU-30|||//12/24/2010 12:10:43 AM
CAD_U|CABEU|GAB1|AIQ|20100810072045|BEU-30|||//12/24/2010 12:10:44 AM
CAD_U|CABEU|GAB1|AIQ|20100810072045|BEU-30|||//12/24/2010 12:10:44 AM
CAD_U|CABEU|GAB1|AIQ|20100810072045|BEU-30|||//12/24/2010 12:10:44 AM
CAD_U|CABEU|GAB2|AIQ|20100809075208|BEU-30|||//12/24/2010 12:10:45 AM
CAD_U|CABEU|GAB2|AIQ|20100809075208|BEU-30|||//12/24/2010 12:10:45 AM
CAD_U|CABEU|GAB2|AIQ|20100809075208|BEU-30|||//12/24/2010 12:10:45 AM
CAD_U|CABEU|GAB3|AIQ|20100803211550|BEU-30|||//12/24/2010 12:10:46 AM
CAD_U|CABEU|GAB3|AIQ|20100803211550|BEU-30|||//12/24/2010 12:10:46 AM
CAD_U|CABEU|GAB3|AIQ|20100803211550|BEU-30|||//12/24/2010 12:10:46 AM
CAD_U|CABEU|GAB4|AIQ|20100809080132|BEU-30|||//12/24/2010 12:10:47 AM
CAD_U|CABEU|GAB4|AIQ|20100809080132|BEU-30|||//12/24/2010 12:10:48 AM
CAD_U|CABEU|GAB4|AIQ|20100809080132|BEU-30|||//12/24/2010 12:10:48 AM
CAD_U|CABEU|GAB5|AIQ|20100810072317|BEU-30|||//12/24/2010 12:10:49 AM
CAD_U|CABEU|GAB5|AIQ|20100810072317|BEU-30|||//12/24/2010 12:10:49 AM
CAD_U|CABEU|GAB5|AIQ|20100810072317|BEU-30|||//12/24/2010 12:10:49 AM
CAD_U|CABEU|GAB6|AIQ|20100803072441|BEU-30|||//12/24/2010 12:10:50 AM
CAD_U|CABEU|GAB6|AIQ|20100803072441|BEU-30|||//12/24/2010 12:10:50 AM
CAD_U|CABEU|GAB6|AIQ|20100803072441|BEU-30|||//12/24/2010 12:10:50 AM
CAD_U|CABEU|HLT406|AIQ|20100709074820|BEU-30|||//12/24/2010 12:10:51 AM
CAD_U|CABEU|HLT406|AIQ|20100709074820|BEU-30|||//12/24/2010 12:10:51 AM
CAD_U|CABEU|HLT406|AIQ|20100709074820|BEU-30|||//12/24/2010 12:10:51 AM
CAD_U|CACDF|T80|AIQ|20101106122813|HAAB|||//12/24/2010 12:10:51 AM
CAD_U|CACDF|T80|AIQ|20101106122813|HAAB|||//12/24/2010 12:10:51 AM
CAD_U|CACDF|T81|AIQ|20101106122816|HAAB|||//12/24/2010 12:10:51 AM
CAD_U|CACDF|T81|AIQ|20101106122816|HAAB|||//12/24/2010 12:10:51 AM
CAD_U|CAFKU|E4352|AIQ|20100805130713|FKU-2|||//12/24/2010 12:10:52 AM
CAD_U|CAFKU|E4352|AIQ|20100805130713|FKU-2|||//12/24/2010 12:10:52 AM
CAD_U|CAFKU|E4352|AIQ|20100805130713|FKU-2|||//12/24/2010 12:10:52 AM
CAD_U|CAFKU|E4353|AIQ|20100801201503|FKU-2|||//12/24/2010 12:10:53 AM
CAD_U|CAFKU|E4353|AIQ|20100801201503|FKU-2|||//12/24/2010 12:10:53 AM
CAD_U|CAFKU|E4353|AIQ|20100801201503|FKU-2|||//12/24/2010 12:10:53 AM
CAD_U|CAFKU|E4354|AIQ|20100803063451|FKU-1A|||//12/24/2010 12:10:54 AM
CAD_U|CAFKU|E4354|AIQ|20100803063451|FKU-1A|||//12/24/2010 12:10:54 AM
CAD_U|CAFKU|E4361|AIQ|20100805131415|FKU-1A|||//12/24/2010 12:10:55 AM
CAD_U|CAFKU|E4361|AIQ|20100805131415|FKU-1A|||//12/24/2010 12:10:55 AM
CAD_U|CAFKU|E4361|AIQ|20100805131415|FKU-1A|||//12/24/2010 12:10:55 AM
CAD_U|CAFKU|E4362|AIQ|20100801201513|FKU-2|||//12/24/2010 12:10:57 AM
CAD_U|CAFKU|E4362|AIQ|20100801201513|FKU-2|||//12/24/2010 12:10:57 AM
CAD_U|CAFKU|E4362|AIQ|20100801201513|FKU-2|||//12/24/2010 12:10:57 AM
CAD_U|CAFKU|E4363|AIQ|20100801194139|FKU-2|||//12/24/2010 12:10:58 AM
CAD_U|CAFKU|E4363|AIQ|20100801194139|FKU-2|||//12/24/2010 12:10:58 AM
CAD_U|CAFKU|E4363|AIQ|20100801194139|FKU-2|||//12/24/2010 12:10:58 AM
CAD_U|CAFKU|E4364|AIQ|20100801200156|FKU-1A|||//12/24/2010 12:10:59 AM
CAD_U|CAFKU|E4364|AIQ|20100801200156|FKU-1A|||//12/24/2010 12:10:59 AM
CAD_U|CAFKU|E4368|AIQ|20100805125956|FKU-2|||//12/24/2010 12:11:00 AM
CAD_U|CAFKU|E4368|AIQ|20100805125956|FKU-2|||//12/24/2010 12:11:00 AM
CAD_U|CAFKU|E4368|AIQ|20100805125956|FKU-2|||//12/24/2010 12:11:00 AM
CAD_U|CAFKU|E4373|AIQ|20100805131039|FKU-2|||//12/24/2010 12:11:01 AM
CAD_U|CAFKU|E4373|AIQ|20100805131039|FKU-2|||//12/24/2010 12:11:01 AM
CAD_U|CAFKU|E4373|AIQ|20100805131039|FKU-2|||//12/24/2010 12:11:01 AM
CAD_U|CAFKU|E4382|AIQ|20100801201359|FKU-2|||//12/24/2010 12:11:02 AM
CAD_U|CAFKU|E4382|AIQ|20100801201359|FKU-2|||//12/24/2010 12:11:02 AM
CAD_U|CAFKU|E4382|AIQ|20100801201359|FKU-2|||//12/24/2010 12:11:02 AM
CAD_U|CAFKU|E4383|AIQ|20100801200101|FKU-1A|||//12/24/2010 12:11:03 AM
CAD_U|CAFKU|E4383|AIQ|20100801200101|FKU-1A|||//12/24/2010 12:11:03 AM
CAD_U|CAFKU|E4383|AIQ|20100801200101|FKU-1A|||//12/24/2010 12:11:03 AM
CAD_U|CAFKU|E4391|AIQ|20100801201506|FKU-2|||//12/24/2010 12:11:04 AM
CAD_U|CAFKU|E4391|AIQ|20100801201506|FKU-2|||//12/24/2010 12:11:04 AM
CAD_U|CAFKU|E4391|AIQ|20100801201506|FKU-2|||//12/24/2010 12:11:04 AM
CAD_U|CAFKU|MIR1|AIQ|20100809082216|FKU-2|||//12/24/2010 12:11:05 AM
CAD_U|CAFKU|MIR1|AIQ|20100809082216|FKU-2|||//12/24/2010 12:11:05 AM
CAD_U|CAFKU|MIR1|AIQ|20100809082216|FKU-2|||//12/24/2010 12:11:05 AM
CAD_U|CAFKU|MIR2|AIQ|20100817104407|FKU-2|||//12/24/2010 12:11:07 AM
CAD_U|CAFKU|MIR2|AIQ|20100817104407|FKU-2|||//12/24/2010 12:11:07 AM
CAD_U|CAFKU|MIR2|AIQ|20100817104407|FKU-2|||//12/24/2010 12:11:07 AM
CAD_U|CAFKU|MIR3|AIQ|20100730110101|FKU-1A|||//12/24/2010 12:11:08 AM
CAD_U|CAFKU|MIR3|AIQ|20100730110101|FKU-1A|||//12/24/2010 12:11:08 AM
CAD_U|CAFKU|MIR3|AIQ|20100730110101|FKU-1A|||//12/24/2010 12:11:08 AM
CAD_U|CAFKU|MIR4|AIQ|20100818101549|FKU-2|||//12/24/2010 12:11:09 AM
CAD_U|CAFKU|MIR4|AIQ|20100818101549|FKU-2|||//12/24/2010 12:11:09 AM
CAD_U|CAFKU|MIR4|AIQ|20100818101549|FKU-2|||//12/24/2010 12:11:09 AM
CAD_U|CACDF|T75|DSP|20101221173828|R-8A|10007221|MED|CAFKU2010009245//12/24/2010 12:11:09 AM
CAD_U|CACDF|T75|DSP|20101221173828|R-8A|10007221|MED|CAFKU2010009245//12/24/2010 12:11:09 AM
CAD_U|CACDF|T75|DSP|20101221173828|R-8A|10007221|MED|CAFKU2010009245//12/24/2010 12:11:09 AM
CAD_U|CACDF|T75|DSP|20101221173828|R-8A|10007221|MED|CAFKU2010009245//12/24/2010 12:11:09 AM
CAD_U|CABEU|E4656|AIQ|20101223164202|BEU-30|||//12/24/2010 12:28:05 AM
CAD_U|CABEU|E4656|AIQ|20101223164202|BEU-30|||//12/24/2010 12:28:05 AM
CAD_U|CABEU|E4656|AIQ|20101223164202|BEU-30|||//12/24/2010 12:28:05 AM
CAD_U|CABEU|E4673|AIQ|20101219072139|BEU-30|||//12/24/2010 12:28:06 AM
CAD_U|CABEU|E4673|AIQ|20101219072139|BEU-30|||//12/24/2010 12:28:06 AM
CAD_U|CABEU|E4673|AIQ|20101219072139|BEU-30|||//12/24/2010 12:28:06 AM
CAD_U|CABEU|GAB1|AIQ|20101220071236|BEU-30|||//12/24/2010 12:28:08 AM
CAD_U|CABEU|GAB1|AIQ|20101220071236|BEU-30|||//12/24/2010 12:28:08 AM
CAD_U|CABEU|GAB1|AIQ|20101220071236|BEU-30|||//12/24/2010 12:28:08 AM
CAD_U|CABEU|GAB2|AIQ|20101221073121|BEU-30|||//12/24/2010 12:28:09 AM
CAD_U|CABEU|GAB2|AIQ|20101221073121|BEU-30|||//12/24/2010 12:28:09 AM
CAD_U|CABEU|GAB2|AIQ|20101221073121|BEU-30|||//12/24/2010 12:28:09 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/24/2010 12:28:10 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/24/2010 12:28:10 AM
CAD_U|CAFKU|E4352|AIQ|20101116123428|FKU-2|||//12/24/2010 12:28:10 AM
CAD_U|CAFKU|E4353|AIQ|20101220072600|FKU-2|||//12/24/2010 12:28:11 AM
CAD_U|CAFKU|E4353|AIQ|20101220072600|FKU-2|||//12/24/2010 12:28:11 AM
CAD_U|CAFKU|E4353|AIQ|20101220072600|FKU-2|||//12/24/2010 12:28:11 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/24/2010 12:28:12 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/24/2010 12:28:12 AM
CAD_U|CAFKU|E4362|AIQ|20101207145415|FKU-2|||//12/24/2010 12:28:12 AM
CAD_U|CAFKU|E4373|AIQ|20101221133530|FKU-2|||//12/24/2010 12:28:13 AM
CAD_U|CAFKU|E4373|AIQ|20101221133530|FKU-2|||//12/24/2010 12:28:13 AM
CAD_U|CAFKU|E4373|AIQ|20101221133530|FKU-2|||//12/24/2010 12:28:13 AM
CAD_U|CAFKU|E4391|AIQ|20101214151158|FKU-2|||//12/24/2010 12:28:14 AM
CAD_U|CAFKU|E4391|AIQ|20101214151158|FKU-2|||//12/24/2010 12:28:14 AM
CAD_U|CAFKU|E4391|AIQ|20101214151158|FKU-2|||//12/24/2010 12:28:14 AM
CAD_U|CABEU|GAB3|AIQ|20101220071415|BEU-30|||//12/24/2010 12:28:15 AM
CAD_U|CABEU|GAB3|AIQ|20101220071415|BEU-30|||//12/24/2010 12:28:15 AM
CAD_U|CABEU|GAB3|AIQ|20101220071415|BEU-30|||//12/24/2010 12:28:15 AM
CAD_U|CABEU|GAB6|AIQ|20101221073608|BEU-30|||//12/24/2010 12:28:17 AM
CAD_U|CABEU|GAB6|AIQ|20101221073608|BEU-30|||//12/24/2010 12:28:17 AM
CAD_U|CABEU|GAB6|AIQ|20101221073608|BEU-30|||//12/24/2010 12:28:17 AM
CAD_U|CAFKU|MIR1|AIQ|20101221083123|FKU-2|||//12/24/2010 12:28:18 AM
CAD_U|CAFKU|MIR1|AIQ|20101221083123|FKU-2|||//12/24/2010 12:28:18 AM
CAD_U|CAFKU|MIR1|AIQ|20101221083123|FKU-2|||//12/24/2010 12:28:18 AM
CAD_U|CAFKU|MIR3|AIQ|20101220081410|FKU-1A|||//12/24/2010 12:28:19 AM
CAD_U|CAFKU|MIR3|AIQ|20101220081410|FKU-1A|||//12/24/2010 12:28:19 AM
CAD_U|CAFKU|MIR3|AIQ|20101220081410|FKU-1A|||//12/24/2010 12:28:19 AM
CAD_U|CAFKU|MIR4|AIQ|20101223082018|FKU-2|||//12/24/2010 12:28:20 AM
CAD_U|CAFKU|MIR4|AIQ|20101223082018|FKU-2|||//12/24/2010 12:28:20 AM
CAD_U|CAFKU|MIR4|AIQ|20101223082018|FKU-2|||//12/24/2010 12:28:20 AM
CAD_U|CACDF|C406|AIQ|20100811114507|BVHB|||//12/24/2010 1:00:17 AM
CAD_U|CACDF|C406|AIQ|20100811114507|BVHB|||//12/24/2010 1:00:18 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/24/2010 1:00:19 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/24/2010 1:00:19 AM
CAD_U|CABEU|D4641|AIQ|20100721171102|BEU-30|||//12/24/2010 1:00:19 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/24/2010 1:00:20 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/24/2010 1:00:20 AM
CAD_U|CABEU|D4643|AIQ|20100726075237|BEU-30|||//12/24/2010 1:00:20 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/24/2010 1:00:21 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/24/2010 1:00:21 AM
CAD_U|CABEU|D4645|AIQ|20100810083056|BEU-30|||//12/24/2010 1:00:21 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/24/2010 1:00:22 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/24/2010 1:00:22 AM
CAD_U|CABEU|E4656|AIQ|20100717163742|BEU-30|||//12/24/2010 1:00:22 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/24/2010 1:00:23 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/24/2010 1:00:23 AM
CAD_U|CABEU|E4660|AIQ|20100621080844|BEU-30|||//12/24/2010 1:00:23 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/24/2010 1:00:24 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/24/2010 1:00:24 AM
CAD_U|CABEU|E4661|AIQ|20100621080612|BEU-30|||//12/24/2010 1:00:24 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/24/2010 1:00:25 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/24/2010 1:00:25 AM
CAD_U|CABEU|E4663|AIQ|20100716204059|BEU-30|||//12/24/2010 1:00:25 AM
CAD_U|CABEU|E4664|AIQ|20101106122820|BEU-31|||//12/24/2010 1:00:26 AM
CAD_U|CABEU|E4664|AIQ|20101106122820|BEU-31|||//12/24/2010 1:00:26 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/24/2010 1:00:28 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/24/2010 1:00:28 AM
CAD_U|CABEU|E4665|AIQ|20100612172022|BEU-30|||//12/24/2010 1:00:28 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/24/2010 1:00:29 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/24/2010 1:00:29 AM
CAD_U|CABEU|E4666|AIQ|20100621075236|BEU-30|||//12/24/2010 1:00:29 AM
CAD_U|CACDF|AA430|AIQ|20101113125813|FAAB|||//12/24/2010 1:00:29 AM
CAD_U|CACDF|AA430|AIQ|20101113125813|FAAB|||//12/24/2010 1:00:29 AM
CAD_U|CAFKU|D4340|AIQ|20100707182148|FKU-1A|||//12/24/2010 1:00:30 AM
CAD_U|CAFKU|D4340|AIQ|20100707182148|FKU-1A|||//12/24/2010 1:00:30 AM
CAD_U|CAFKU|D4340|AIQ|20100707182148|FKU-1A|||//12/24/2010 1:00:30 AM
CAD_U|CAFKU|D4341|AIQ|20100802150352|FKU-1A|||//12/24/2010 1:00:31 AM
CAD_U|CAFKU|D4341|AIQ|20100802150352|FKU-1A|||//12/24/2010 1:00:31 AM
CAD_U|CAFKU|E4352|AIQ|20100805130713|FKU-2|||//12/24/2010 1:00:32 AM
CAD_U|CAFKU|E4352|AIQ|20100805130713|FKU-2|||//12/24/2010 1:00:32 AM
CAD_U|CAFKU|E4352|AIQ|20100805130713|FKU-2|||//12/24/2010 1:00:32 AM
CAD_U|CAFKU|E4353|AIQ|20100801201503|FKU-2|||//12/24/2010 1:00:33 AM
CAD_U|CAFKU|E4353|AIQ|20100801201503|FKU-2|||//12/24/2010 1:00:33 AM
CAD_U|CAFKU|E4353|AIQ|20100801201503|FKU-2|||//12/24/2010 1:00:33 AM
CAD_U|CAFKU|E4354|AIQ|20100803063451|FKU-1A|||//12/24/2010 1:00:34 AM
CAD_U|CAFKU|E4354|AIQ|20100803063451|FKU-1A|||//12/24/2010 1:00:34 AM
CAD_U|CAFKU|E4361|AIQ|20100805131415|FKU-1A|||//12/24/2010 1:00:35 AM
CAD_U|CAFKU|E4361|AIQ|20100805131415|FKU-1A|||//12/24/2010 1:00:35 AM
CAD_U|CAFKU|E4361|AIQ|20100805131415|FKU-1A|||//12/24/2010 1:00:35 AM
CAD_U|CAFKU|E4362|AIQ|20100801201513|FKU-2|||//12/24/2010 1:00:37 AM
CAD_U|CAFKU|E4362|AIQ|20100801201513|FKU-2|||//12/24/2010 1:00:37 AM
CAD_U|CAFKU|E4362|AIQ|20100801201513|FKU-2|||//12/24/2010 1:00:37 AM
CAD_U|CAFKU|E4363|AIQ|20100801194139|FKU-2|||//12/24/2010 1:00:38 AM
CAD_U|CAFKU|E4363|AIQ|20100801194139|FKU-2|||//12/24/2010 1:00:38 AM
CAD_U|CAFKU|E4363|AIQ|20100801194139|FKU-2|||//12/24/2010 1:00:38 AM
CAD_U|CAFKU|E4364|AIQ|20100801200156|FKU-1A|||//12/24/2010 1:00:39 AM
CAD_U|CAFKU|E4364|AIQ|20100801200156|FKU-1A|||//12/24/2010 1:00:39 AM
CAD_U|CAFKU|E4368|AIQ|20100805125956|FKU-2|||//12/24/2010 1:00:40 AM
CAD_U|CAFKU|E4368|AIQ|20100805125956|FKU-2|||//12/24/2010 1:00:40 AM
CAD_U|CAFKU|E4368|AIQ|20100805125956|FKU-2|||//12/24/2010 1:00:40 AM
CAD_U|CAFKU|E4373|AIQ|20100805131039|FKU-2|||//12/24/2010 1:00:41 AM
CAD_U|CAFKU|E4373|AIQ|20100805131039|FKU-2|||//12/24/2010 1:00:41 AM
CAD_U|CAFKU|E4373|AIQ|20100805131039|FKU-2|||//12/24/2010 1:00:41 AM
CAD_U|CAFKU|E4382|AIQ|20100801201359|FKU-2|||//12/24/2010 1:00:42 AM
CAD_U|CAFKU|E4382|AIQ|20100801201359|FKU-2|||//12/24/2010 1:00:42 AM
CAD_U|CAFKU|E4382|AIQ|20100801201359|FKU-2|||//12/24/2010 1:00:42 AM
CAD_U|CAFKU|E4383|AIQ|20100801200101|FKU-1A|||//12/24/2010 1:00:43 AM
CAD_U|CAFKU|E4383|AIQ|20100801200101|FKU-1A|||//12/24/2010 1:00:43 AM
CAD_U|CAFKU|E4383|AIQ|20100801200101|FKU-1A|||//12/24/2010 1:00:43 AM
CAD_U|CAFKU|E4391|AIQ|20100801201506|FKU-2|||//12/24/2010 1:00:44 AM
CAD_U|CAFKU|E4391|AIQ|20100801201506|FKU-2|||//12/24/2010 1:00:44 AM
CAD_U|CAFKU|E4391|AIQ|20100801201506|FKU-2|||//12/24/2010 1:00:44 AM
CAD_U|CAFKU|MIR1|AIQ|20100809082216|FKU-2|||//12/24/2010 1:00:45 AM
CAD_U|CAFKU|MIR1|AIQ|20100809082216|FKU-2|||//12/24/2010 1:00:45 AM
CAD_U|CAFKU|MIR1|AIQ|20100809082216|FKU-2|||//12/24/2010 1:00:45 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/24/2010 1:00:47 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/24/2010 1:00:47 AM
CAD_U|CABEU|E4673|AIQ|20100627164624|BEU-30|||//12/24/2010 1:00:47 AM
CAD_U|CABEU|E4674|AIQ|20100804182838|BEU-30|||//12/24/2010 1:00:48 AM
CAD_U|CABEU|E4674|AIQ|20100804182838|BEU-30|||//12/24/2010 1:00:48 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/24/2010 1:00:49 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/24/2010 1:00:49 AM
CAD_U|CABEU|E4675|AIQ|20100621075346|BEU-30|||//12/24/2010 1:00:49 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/24/2010 1:00:50 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/24/2010 1:00:50 AM
CAD_U|CABEU|E4677|AIQ|20100805152855|BEU-30|||//12/24/2010 1:00:50 AM
CAD_U|CABEU|E4679|AIQ|20100723133641|BEU-30|||//12/24/2010 1:00:51 AM
